Beta-carotene
5/1/2025 7:19:19 PM
Wavelength (nm)	10mm Absorbance
411.0	1.139
411.5	1.150
412.0	1.162
412.5	1.174
413.0	1.187
413.5	1.200
414.0	1.212
414.5	1.226
415.0	1.242
415.5	1.256
416.0	1.272
416.5	1.289
417.0	1.308
417.5	1.328
418.0	1.349
418.5	1.369
419.0	1.389
419.5	1.407
420.0	1.426
420.5	1.444
421.0	1.462
421.5	1.479
422.0	1.496
422.5	1.512
423.0	1.529
423.5	1.547
424.0	1.564
424.5	1.581
425.0	1.602
425.5	1.623
426.0	1.641
426.5	1.656
427.0	1.670
427.5	1.682
428.0	1.696
428.5	1.707
429.0	1.717
429.5	1.727
430.0	1.736
430.5	1.748
431.0	1.756
431.5	1.764
432.0	1.768
432.5	1.773
433.0	1.783
433.5	1.789
434.0	1.797
434.5	1.800
435.0	1.807
435.5	1.818
436.0	1.825
436.5	1.831
437.0	1.837
437.5	1.845
438.0	1.855
438.5	1.860
439.0	1.867
439.5	1.874
440.0	1.885
440.5	1.900
441.0	1.907
441.5	1.924
442.0	1.941
442.5	1.953
443.0	1.969
443.5	1.981
444.0	1.993
444.5	2.011
445.0	2.030
445.5	2.049
446.0	2.061
446.5	2.081
447.0	2.099
447.5	2.118
448.0	2.143
448.5	2.169
449.0	2.182
449.5	2.187
450.0	2.210
450.5	2.234
451.0	2.267
451.5	2.289
452.0	2.304
452.5	2.310
453.0	2.319
453.5	2.319
454.0	2.300
454.5	2.280
455.0	2.287
455.5	2.305
456.0	2.334
456.5	2.347
457.0	2.348
457.5	2.334
458.0	2.321
458.5	2.304
459.0	2.281
459.5	2.262
460.0	2.255
460.5	2.256
461.0	2.253
461.5	2.247
462.0	2.237
462.5	2.224
463.0	2.212
463.5	2.204
464.0	2.191
464.5	2.176
465.0	2.160
465.5	2.142
466.0	2.122
466.5	2.100
467.0	2.085
467.5	2.073
468.0	2.069
468.5	2.063
469.0	2.047
469.5	2.030
470.0	2.010
470.5	1.993
471.0	1.976
471.5	1.966
472.0	1.961
472.5	1.964
473.0	1.966
473.5	1.967
474.0	1.962
474.5	1.956
475.0	1.953
475.5	1.959
476.0	1.963
476.5	1.961
477.0	1.970
477.5	1.974
478.0	1.976
478.5	1.975
479.0	1.978
479.5	1.982
480.0	1.994
480.5	2.007
481.0	2.012
481.5	2.010
482.0	2.017
482.5	2.017
483.0	2.017
483.5	2.015
484.0	2.011
484.5	2.009
485.0	2.006
485.5	1.997
486.0	1.986
486.5	1.973
487.0	1.960
487.5	1.951
488.0	1.940
488.5	1.929
489.0	1.916
489.5	1.902
490.0	1.882
490.5	1.859
491.0	1.832
491.5	1.804
492.0	1.775
492.5	1.747
493.0	1.715
493.5	1.686
494.0	1.656
494.5	1.622
495.0	1.582
495.5	1.543
496.0	1.504
496.5	1.465
497.0	1.427
497.5	1.390
498.0	1.352
498.5	1.313
499.0	1.275
499.5	1.235
500.0	1.194
500.5	1.155
501.0	1.116
501.5	1.077
502.0	1.039
502.5	1.000
503.0	0.961
503.5	0.923
504.0	0.887
504.5	0.852
505.0	0.818
505.5	0.785
506.0	0.752
506.5	0.721
507.0	0.690
507.5	0.659
508.0	0.630
508.5	0.601
509.0	0.574
509.5	0.547
510.0	0.521
510.5	0.497
511.0	0.473
511.5	0.451
512.0	0.430
512.5	0.409
513.0	0.390
513.5	0.371
514.0	0.353
514.5	0.337
515.0	0.320
515.5	0.304
516.0	0.289
516.5	0.275
517.0	0.261
517.5	0.247
518.0	0.235
518.5	0.224
519.0	0.213
519.5	0.204
520.0	0.194
520.5	0.186
521.0	0.177
521.5	0.169
522.0	0.161
522.5	0.153
523.0	0.146
523.5	0.139
524.0	0.133
524.5	0.126
525.0	0.121
525.5	0.115
526.0	0.110
526.5	0.105
527.0	0.101
527.5	0.096
528.0	0.092
528.5	0.088
529.0	0.085
529.5	0.083
530.0	0.081
530.5	0.079
531.0	0.076
531.5	0.074
532.0	0.071
532.5	0.069
533.0	0.066
533.5	0.063
534.0	0.061
534.5	0.060
535.0	0.058
535.5	0.057
536.0	0.055
536.5	0.054
537.0	0.052
537.5	0.051
538.0	0.049
538.5	0.048
539.0	0.046
539.5	0.045
540.0	0.044
540.5	0.043
541.0	0.041
541.5	0.041
542.0	0.040
542.5	0.039
543.0	0.039
543.5	0.038
544.0	0.037
544.5	0.036
545.0	0.036
545.5	0.035
546.0	0.035
546.5	0.034
547.0	0.033
547.5	0.033
548.0	0.032
548.5	0.031
549.0	0.031
549.5	0.030
550.0	0.029
550.5	0.029
551.0	0.028
551.5	0.028
552.0	0.027
552.5	0.027
553.0	0.026
553.5	0.026
554.0	0.025
554.5	0.025
555.0	0.024
555.5	0.023
556.0	0.023
556.5	0.023
557.0	0.022
557.5	0.022
558.0	0.022
558.5	0.022
559.0	0.022
559.5	0.021
560.0	0.021
560.5	0.020
561.0	0.020
561.5	0.020
562.0	0.020
562.5	0.020
563.0	0.020
563.5	0.020
564.0	0.020
564.5	0.019
565.0	0.018
565.5	0.018
566.0	0.017
566.5	0.017
567.0	0.017
567.5	0.017
568.0	0.017
568.5	0.017
569.0	0.017
569.5	0.017
570.0	0.017
570.5	0.017
571.0	0.016
571.5	0.016
572.0	0.016
572.5	0.016
573.0	0.016
573.5	0.016
574.0	0.016
574.5	0.015
575.0	0.015
575.5	0.015
576.0	0.015
576.5	0.015
577.0	0.015
577.5	0.015
578.0	0.015
578.5	0.015
579.0	0.014
579.5	0.013
580.0	0.013
580.5	0.012
581.0	0.012
581.5	0.012
582.0	0.012
582.5	0.012
583.0	0.012
583.5	0.012
584.0	0.011
584.5	0.011
585.0	0.011
585.5	0.011
586.0	0.011
586.5	0.012
587.0	0.012
587.5	0.012
588.0	0.012
588.5	0.012
589.0	0.011
589.5	0.011
590.0	0.011
590.5	0.011
591.0	0.010
591.5	0.010
592.0	0.010
592.5	0.010
593.0	0.010
593.5	0.009
594.0	0.009
594.5	0.009
595.0	0.010
595.5	0.010
596.0	0.010
596.5	0.011
597.0	0.011
597.5	0.011
598.0	0.010
598.5	0.010
599.0	0.010
599.5	0.010
600.0	0.010
600.5	0.009
601.0	0.008
601.5	0.008
602.0	0.008
602.5	0.008
603.0	0.009
603.5	0.009
604.0	0.010
604.5	0.009
605.0	0.009
605.5	0.009
606.0	0.008
606.5	0.009
607.0	0.009
607.5	0.010
608.0	0.010
608.5	0.010
609.0	0.010
609.5	0.011
610.0	0.010
610.5	0.010
611.0	0.010
611.5	0.010
612.0	0.010
612.5	0.009
613.0	0.008
613.5	0.008
614.0	0.008
614.5	0.008
615.0	0.008
615.5	0.008
616.0	0.008
616.5	0.007
617.0	0.007
617.5	0.007
618.0	0.008
618.5	0.008
619.0	0.008
619.5	0.008
620.0	0.009
620.5	0.008
621.0	0.008
621.5	0.008
622.0	0.008
622.5	0.007
623.0	0.006
623.5	0.006
624.0	0.005
624.5	0.005
625.0	0.006
625.5	0.005
626.0	0.005
626.5	0.006
627.0	0.006
627.5	0.006
628.0	0.006
628.5	0.006
629.0	0.006
629.5	0.005
630.0	0.006
630.5	0.005
631.0	0.004
631.5	0.004
632.0	0.005
632.5	0.005
633.0	0.004
633.5	0.004
634.0	0.004
634.5	0.004
635.0	0.004
635.5	0.004
636.0	0.004
636.5	0.004
637.0	0.004
637.5	0.004
638.0	0.004
638.5	0.004
639.0	0.004
639.5	0.004
640.0	0.004
640.5	0.004
641.0	0.004
641.5	0.003
642.0	0.003
642.5	0.003
643.0	0.004
643.5	0.004
644.0	0.004
644.5	0.004
645.0	0.004
645.5	0.004
646.0	0.004
646.5	0.004
647.0	0.004
647.5	0.004
648.0	0.004
648.5	0.005
649.0	0.005
649.5	0.004
650.0	0.004
650.5	0.004
651.0	0.004
651.5	0.003
652.0	0.002
652.5	0.002
653.0	0.002
653.5	0.002
654.0	0.002
654.5	0.003
655.0	0.003
655.5	0.003
656.0	0.003
656.5	0.003
657.0	0.003
657.5	0.003
658.0	0.003
658.5	0.003
659.0	0.002
659.5	0.002
660.0	0.002
660.5	0.001
661.0	0.001
661.5	0.002
662.0	0.002
662.5	0.002
663.0	0.002
663.5	0.002
664.0	0.002
664.5	0.002
665.0	0.002
665.5	0.002
666.0	0.002
666.5	0.001
667.0	0.001
667.5	0.001
668.0	0.001
668.5	0.001
669.0	0.001
669.5	0.002
670.0	0.002
670.5	0.002
671.0	0.002
671.5	0.002
672.0	0.002
672.5	0.002
673.0	0.002
673.5	0.002
674.0	0.002
674.5	0.001
675.0	0.001
675.5	0.000
676.0	0.000
676.5	-0.001
677.0	-0.001
677.5	-0.001
678.0	-0.001
678.5	0.000
679.0	0.000
679.5	0.001
680.0	0.001
680.5	0.001
681.0	0.000
681.5	0.000
682.0	0.000
682.5	0.000
683.0	0.001
683.5	0.001
684.0	0.001
684.5	0.001
685.0	0.000
685.5	0.000
686.0	0.000
686.5	0.000
687.0	0.000
687.5	0.000
688.0	0.000
688.5	-0.001
689.0	-0.001
689.5	-0.001
690.0	-0.001
690.5	-0.001
691.0	-0.001
691.5	0.000
692.0	0.000
692.5	0.000
693.0	-0.001
693.5	0.000
694.0	0.000
694.5	0.000
695.0	0.001
695.5	0.001
696.0	0.001
696.5	0.001
697.0	0.001
697.5	0.000
698.0	0.000
698.5	0.000
699.0	0.000
699.5	-0.001
700.0	0.000
700.5	-0.001
701.0	-0.001
701.5	0.000
702.0	0.000
702.5	0.001
703.0	0.001
703.5	0.001
704.0	0.001
704.5	0.001
705.0	0.001
705.5	0.001
706.0	0.000
706.5	0.000
707.0	0.000
707.5	0.000
708.0	0.000
708.5	0.000
709.0	-0.001
709.5	-0.001
710.0	0.000
710.5	0.000
711.0	0.000
711.5	0.000
712.0	0.000
712.5	0.001
713.0	0.000
713.5	-0.001
714.0	0.000
714.5	-0.001
715.0	-0.001
715.5	-0.001
716.0	-0.001
716.5	-0.001
717.0	-0.001
717.5	-0.002
718.0	-0.002
718.5	-0.002
719.0	-0.001
719.5	-0.001
720.0	-0.001
720.5	-0.001
721.0	-0.001
721.5	-0.001
722.0	-0.001
722.5	-0.001
723.0	-0.002
723.5	-0.001
724.0	-0.001
724.5	-0.001
725.0	-0.001
725.5	-0.001
726.0	-0.001
726.5	-0.001
727.0	-0.001
727.5	-0.001
728.0	-0.002
728.5	-0.002
729.0	-0.002
729.5	-0.001
730.0	-0.001
730.5	-0.001
731.0	-0.002
731.5	-0.002
732.0	-0.002
732.5	-0.003
733.0	-0.004
733.5	-0.004
734.0	-0.004
734.5	-0.003
735.0	-0.003
735.5	-0.003
736.0	-0.003
736.5	-0.002
737.0	-0.002
737.5	-0.002
738.0	-0.003
738.5	-0.002
739.0	-0.001
739.5	-0.002
740.0	-0.003
740.5	-0.003
741.0	-0.002
741.5	-0.002
742.0	-0.003
742.5	-0.004
743.0	-0.004
743.5	-0.004
744.0	-0.003
744.5	-0.003
745.0	-0.003
745.5	-0.002
746.0	-0.002
746.5	-0.003
747.0	-0.004
747.5	-0.004
748.0	-0.005
748.5	-0.005
749.0	-0.004
749.5	-0.003
750.0	-0.003
750.5	-0.003
751.0	-0.003
751.5	-0.004
752.0	-0.003
752.5	-0.003
753.0	-0.004
753.5	-0.004
754.0	-0.004
754.5	-0.004
755.0	-0.005
755.5	-0.006
756.0	-0.006
756.5	-0.006
757.0	-0.005
757.5	-0.005
758.0	-0.005
758.5	-0.003
759.0	-0.002
759.5	-0.001
760.0	-0.001
760.5	-0.002
761.0	-0.002
761.5	-0.002
762.0	-0.003
762.5	-0.003
763.0	-0.003
763.5	-0.003
764.0	-0.002
764.5	-0.002
765.0	-0.002
765.5	-0.002
766.0	-0.002
766.5	-0.002
767.0	-0.002
767.5	-0.002
768.0	-0.002
768.5	-0.003
769.0	-0.003
769.5	-0.004
770.0	-0.004
770.5	-0.004
771.0	-0.004
771.5	-0.003
772.0	-0.003
772.5	-0.003
773.0	-0.004
773.5	-0.004
774.0	-0.004
774.5	-0.005
775.0	-0.004
775.5	-0.004
776.0	-0.004
776.5	-0.005
777.0	-0.005
777.5	-0.006
778.0	-0.007
778.5	-0.007
779.0	-0.007
779.5	-0.007
780.0	-0.007
780.5	-0.006
781.0	-0.006
781.5	-0.006
782.0	-0.006
782.5	-0.005
783.0	-0.005
783.5	-0.004
784.0	-0.003
784.5	-0.003
785.0	-0.004
785.5	-0.003
786.0	-0.004
786.5	-0.004
787.0	-0.004
787.5	-0.005
788.0	-0.005
788.5	-0.004
789.0	-0.004
789.5	-0.005
790.0	-0.004
790.5	-0.004
791.0	-0.005
791.5	-0.005
792.0	-0.006
792.5	-0.006
793.0	-0.004
793.5	-0.003
794.0	-0.002
794.5	-0.002
795.0	-0.002
795.5	-0.003
796.0	-0.004
796.5	-0.006
797.0	-0.007
797.5	-0.008
798.0	-0.008
798.5	-0.007
799.0	-0.006
799.5	-0.005
800.0	-0.005
800.5	-0.005
801.0	-0.005
801.5	-0.005
802.0	-0.006
802.5	-0.007
803.0	-0.006
803.5	-0.006
804.0	-0.005
804.5	-0.006
805.0	-0.006
805.5	-0.008
806.0	-0.008
806.5	-0.009
807.0	-0.008
807.5	-0.007
808.0	-0.006
808.5	-0.005
809.0	-0.004
809.5	-0.004
810.0	-0.005
810.5	-0.005
811.0	-0.005
811.5	-0.005
812.0	-0.005
812.5	-0.005
813.0	-0.006
813.5	-0.006
814.0	-0.008
814.5	-0.007
815.0	-0.007
815.5	-0.006
816.0	-0.006
816.5	-0.005
817.0	-0.005
817.5	-0.004
818.0	-0.005
818.5	-0.004
819.0	-0.004
819.5	-0.003
820.0	-0.003
820.5	-0.004
821.0	-0.005
821.5	-0.006
822.0	-0.007
822.5	-0.007
823.0	-0.008
823.5	-0.008
824.0	-0.007
824.5	-0.008
825.0	-0.008
825.5	-0.007
826.0	-0.007
826.5	-0.007
827.0	-0.007
827.5	-0.007
828.0	-0.008
828.5	-0.009
829.0	-0.008
829.5	-0.009
830.0	-0.008
830.5	-0.008
831.0	-0.006
831.5	-0.005
832.0	-0.005
832.5	-0.005
833.0	-0.005
833.5	-0.005
834.0	-0.005
834.5	-0.005
835.0	-0.007
835.5	-0.008
836.0	-0.008
836.5	-0.008
837.0	-0.008
837.5	-0.007
838.0	-0.007
838.5	-0.006
839.0	-0.007
839.5	-0.007
840.0	-0.007
840.5	-0.008
841.0	-0.008
841.5	-0.008
842.0	-0.007
842.5	-0.007
843.0	-0.005
843.5	-0.005
844.0	-0.005
844.5	-0.004
845.0	-0.005
845.5	-0.005
846.0	-0.006
846.5	-0.005
847.0	-0.004
847.5	-0.003
848.0	-0.002
848.5	-0.002
849.0	-0.003
849.5	-0.003
850.0	-0.004


Chlorophyll a
5/1/2025 7:19:32 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.24667	
//WLCalib: 261S 	0.07000	
//WLCalib: 362S 	-0.31000	
//WLCalib: 484S 	0.12000	
//WLCalib: 529S 	0.24000	
//WLCalib: 823S 	-0.29000	
//QSpecEnd: 
190.0	0.002
190.5	0.002
191.0	0.002
191.5	0.001
192.0	0.000
192.5	-0.001
193.0	0.000
193.5	0.000
194.0	0.001
194.5	0.000
195.0	-0.001
195.5	-0.002
196.0	-0.002
196.5	-0.003
197.0	-0.002
197.5	-0.002
198.0	0.001
198.5	0.000
199.0	-0.001
199.5	-0.005
200.0	-0.007
200.5	-0.008
201.0	-0.007
201.5	-0.006
202.0	-0.005
202.5	-0.002
203.0	0.001
203.5	0.010
204.0	0.003
204.5	-0.012
205.0	-0.020
205.5	-0.019
206.0	-0.017
206.5	-0.013
207.0	-0.008
207.5	-0.001
208.0	0.007
208.5	0.019
209.0	0.005
209.5	-0.004
210.0	-0.001
210.5	0.000
211.0	0.000
211.5	0.000
212.0	0.000
212.5	0.000
213.0	0.000
213.5	0.000
214.0	0.000
214.5	0.000
215.0	0.002
215.5	0.000
216.0	-0.002
216.5	-0.004
217.0	-0.005
217.5	-0.005
218.0	-0.005
218.5	-0.004
219.0	-0.003
219.5	-0.001
220.0	0.002
220.5	0.000
221.0	0.000
221.5	0.000
222.0	0.000
222.5	0.000
223.0	0.000
223.5	0.000
224.0	0.000
224.5	0.000
225.0	0.000
225.5	0.000
226.0	0.000
226.5	0.000
227.0	0.000
227.5	0.000
228.0	0.000
228.5	0.000
229.0	0.000
229.5	0.000
230.0	0.000
230.5	0.000
231.0	0.000
231.5	0.000
232.0	0.000
232.5	0.000
233.0	0.000
233.5	0.000
234.0	0.000
234.5	0.000
235.0	0.000
235.5	0.000
236.0	0.000
236.5	0.000
237.0	0.000
237.5	-0.001
238.0	0.005
238.5	0.003
239.0	-0.005
239.5	-0.011
240.0	-0.019
240.5	-0.016
241.0	-0.012
241.5	-0.007
242.0	-0.001
242.5	0.005
243.0	0.014
243.5	0.010
244.0	0.004
244.5	0.000
245.0	-0.003
245.5	-0.008
246.0	-0.002
246.5	0.008
247.0	0.015
247.5	0.020
248.0	0.022
248.5	0.022
249.0	0.019
249.5	0.014
250.0	0.005
250.5	-0.010
251.0	0.001
251.5	0.004
252.0	0.006
252.5	0.008
253.0	0.008
253.5	0.006
254.0	0.017
254.5	0.000
255.0	-0.015
255.5	-0.025
256.0	-0.028
256.5	-0.030
257.0	-0.028
257.5	-0.022
258.0	-0.015
258.5	-0.001
259.0	0.018
259.5	0.002
260.0	-0.001
260.5	-0.003
261.0	-0.005
261.5	-0.006
262.0	-0.006
262.5	-0.006
263.0	-0.005
263.5	-0.001
264.0	0.004
264.5	0.000
265.0	0.000
265.5	0.000
266.0	0.000
266.5	0.000
267.0	0.000
267.5	0.000
268.0	0.000
268.5	0.000
269.0	0.000
269.5	0.000
270.0	0.000
270.5	0.000
271.0	0.000
271.5	0.000
272.0	0.000
272.5	0.000
273.0	0.000
273.5	0.000
274.0	0.000
274.5	0.000
275.0	0.000
275.5	0.000
276.0	0.000
276.5	0.000
277.0	0.000
277.5	0.000
278.0	0.000
278.5	0.000
279.0	0.001
279.5	0.001
280.0	-0.002
280.5	-0.003
281.0	-0.005
281.5	-0.005
282.0	-0.005
282.5	-0.005
283.0	-0.003
283.5	-0.002
284.0	0.001
284.5	0.001
285.0	0.000
285.5	0.000
286.0	0.000
286.5	0.000
287.0	0.000
287.5	0.000
288.0	0.000
288.5	0.000
289.0	0.000
289.5	0.000
290.0	0.000
290.5	0.000
291.0	0.000
291.5	0.000
292.0	0.000
292.5	0.000
293.0	0.000
293.5	0.000
294.0	0.001
294.5	-0.008
295.0	0.002
295.5	0.010
296.0	0.016
296.5	0.020
297.0	0.021
297.5	0.020
298.0	0.016
298.5	0.010
299.0	0.002
299.5	-0.010
300.0	0.000
300.5	0.000
301.0	0.000
301.5	0.000
302.0	0.000
302.5	0.003
303.0	-0.002
303.5	0.004
304.0	-0.007
304.5	-0.015
305.0	-0.020
305.5	-0.022
306.0	-0.022
306.5	-0.019
307.0	-0.013
307.5	-0.005
308.0	-0.015
308.5	-0.001
309.0	0.014
309.5	0.031
310.0	0.041
310.5	0.049
311.0	0.050
311.5	0.034
312.0	0.016
312.5	-0.004
313.0	-0.030
313.5	-0.030
314.0	-0.018
314.5	-0.013
315.0	-0.011
315.5	0.001
316.0	0.009
316.5	-0.001
317.0	0.007
317.5	0.007
318.0	0.016
318.5	0.030
319.0	0.027
319.5	0.028
320.0	0.024
320.5	0.024
321.0	0.018
321.5	-0.005
322.0	-0.010
322.5	-0.010
323.0	0.024
323.5	0.066
324.0	0.103
324.5	0.157
325.0	0.194
325.5	0.233
326.0	0.255
326.5	0.258
327.0	0.261
327.5	0.271
328.0	0.288
328.5	0.300
329.0	0.312
329.5	0.321
330.0	0.320
330.5	0.328
331.0	0.326
331.5	0.326
332.0	0.325
332.5	0.325
333.0	0.325
333.5	0.324
334.0	0.323
334.5	0.322
335.0	0.321
335.5	0.321
336.0	0.320
336.5	0.320
337.0	0.319
337.5	0.319
338.0	0.318
338.5	0.316
339.0	0.315
339.5	0.313
340.0	0.312
340.5	0.311
341.0	0.310
341.5	0.310
342.0	0.310
342.5	0.309
343.0	0.309
343.5	0.309
344.0	0.309
344.5	0.309
345.0	0.310
345.5	0.311
346.0	0.312
346.5	0.314
347.0	0.316
347.5	0.317
348.0	0.319
348.5	0.321
349.0	0.323
349.5	0.326
350.0	0.328
350.5	0.331
351.0	0.335
351.5	0.338
